State,Item,Cropping,FarmNum,Time,CropNum,PlantHeight,NumberOfLeaves,LeafLength,LeafWidth,PetioleLength,StemDiameter,NumberOfFruits,EnvDataCount_7d,ExTemperature_7d_mean,ExTemperature_7d_min,ExTemperature_7d_max,OutInsolation_7d_mean,OutInsolation_7d_min,OutInsolation_7d_max,InTemperature_7d_mean,InTemperature_7d_min,InTemperature_7d_max,InHumidity_7d_mean,InHumidity_7d_min,InHumidity_7d_max,RemainCO2_7d_mean,RemainCO2_7d_min,RemainCO2_7d_max,SoilTemperature_7d_mean,SoilTemperature_7d_min,SoilTemperature_7d_max,OutInsolation_7d_sum
BoRyeong ,Strawberry,1,17,2020-11-12,3,32.0,10.0,8.5,12.0,12.0,28.0,1.0,7,10.360119047619047,7.2875000000000005,14.754166666666668,102.98214285714285,36.125,128.58333333333334,13.46845238095238,12.4,15.470833333333333,83.10952380952381,78.50416666666666,88.89166666666667,444.7142857142857,392.2916666666667,481.5,14.949404761904763,14.120833333333332,16.8,720.8749999999999
BoRyeong ,Strawberry,1,17,2020-11-12,4,23.0,9.0,8.2,13.0,13.0,28.7,4.0,7,10.360119047619047,7.2875000000000005,14.754166666666668,102.98214285714285,36.125,128.58333333333334,13.46845238095238,12.4,15.470833333333333,83.10952380952381,78.50416666666666,88.89166666666667,444.7142857142857,392.2916666666667,481.5,14.949404761904763,14.120833333333332,16.8,720.8749999999999
BoRyeong ,Strawberry,1,17,2020-11-19,1,29.8,7.0,11.0,8.0,11.0,25.3,1.0,7,12.934523809523808,9.920833333333333,19.695833333333333,82.89880952380953,27.833333333333332,117.0,14.180357142857144,12.529166666666667,17.916666666666668,85.69047619047619,80.99583333333334,90.71249999999999,428.5119047619047,375.1666666666667,492.5416666666667,15.491071428571429,14.6625,17.920833333333334,580.2916666666667
BoRyeong ,Strawberry,1,17,2020-11-19,2,34.0,6.0,12.0,8.5,8.0,27.2,3.0,7,12.934523809523808,9.920833333333333,19.695833333333333,82.89880952380953,27.833333333333332,117.0,14.180357142857144,12.529166666666667,17.916666666666668,85.69047619047619,80.99583333333334,90.71249999999999,428.5119047619047,375.1666666666667,492.5416666666667,15.491071428571429,14.6625,17.920833333333334,580.2916666666667
BoRyeong ,Strawberry,1,17,2020-11-19,3,31.0,8.0,10.5,7.5,10.0,21.0,2.0,7,12.934523809523808,9.920833333333333,19.695833333333333,82.89880952380953,27.833333333333332,117.0,14.180357142857144,12.529166666666667,17.916666666666668,85.69047619047619,80.99583333333334,90.71249999999999,428.5119047619047,375.1666666666667,492.5416666666667,15.491071428571429,14.6625,17.920833333333334,580.2916666666667
BoRyeong ,Strawberry,1,17,2020-11-19,4,24.0,8.0,10.0,7.0,11.0,23.5,8.0,7,12.934523809523808,9.920833333333333,19.695833333333333,82.89880952380953,27.833333333333332,117.0,14.180357142857144,12.529166666666667,17.916666666666668,85.69047619047619,80.99583333333334,90.71249999999999,428.5119047619047,375.1666666666667,492.5416666666667,15.491071428571429,14.6625,17.920833333333334,580.2916666666667
BoRyeong ,Strawberry,1,17,2020-11-27,1,28.0,7.0,12.0,9.0,11.0,26.0,9.0,7,6.09345238095238,4.216666666666667,7.916666666666667,90.00238095238095,10.6,134.66666666666666,11.9125,11.216666666666667,13.475,89.08404761904761,85.84166666666665,95.92999999999999,444.3607142857143,371.15,481.125,13.716071428571428,13.329166666666666,14.254166666666668,630.0166666666667
BoRyeong ,Strawberry,1,17,2020-11-27,2,32.0,6.0,12.0,8.0,8.0,27.2,9.0,7,6.09345238095238,4.216666666666667,7.916666666666667,90.00238095238095,10.6,134.66666666666666,11.9125,11.216666666666667,13.475,89.08404761904761,85.84166666666665,95.92999999999999,444.3607142857143,371.15,481.125,13.716071428571428,13.329166666666666,14.254166666666668,630.0166666666667
BoRyeong ,Strawberry,1,17,2020-11-27,3,33.0,8.0,11.0,8.0,9.0,22.0,11.0,7,6.09345238095238,4.216666666666667,7.916666666666667,90.00238095238095,10.6,134.66666666666666,11.9125,11.216666666666667,13.475,89.08404761904761,85.84166666666665,95.92999999999999,444.3607142857143,371.15,481.125,13.716071428571428,13.329166666666666,14.254166666666668,630.0166666666667
BoRyeong ,Strawberry,1,17,2020-11-27,4,25.0,8.0,11.0,8.0,12.0,23.6,8.0,7,6.09345238095238,4.216666666666667,7.916666666666667,90.00238095238095,10.6,134.66666666666666,11.9125,11.216666666666667,13.475,89.08404761904761,85.84166666666665,95.92999999999999,444.3607142857143,371.15,481.125,13.716071428571428,13.329166666666666,14.254166666666668,630.0166666666667
